"Country","Airline","Country of Origin","Main Airports in country"
"Hong Kong","China Eastern Airlines","China","Hong Kong: Hong Kong International Airport (HKG)"
"Indonesia","China Eastern Airlines","China","Indonesia: Soekarno–Hatta International Airport (CGK)"
"Japan","China Eastern Airlines","China","Japan: Tokyo Haneda Airport (HND)"
"Macao","China Eastern Airlines","China","Macao: Macau International Airport (MFM)"
"Malaysia","China Eastern Airlines","China","Malaysia: Kuala Lumpur International Airport (KUL)"
"Mauritius","China Eastern Airlines","China","Mauritius: Sir Seewoosagur Ramgoolam International Airport (MRU)"
"Myanmar","China Eastern Airlines","China","Myanmar: Yangon International Airport (RGN)"
"Nepal","China Eastern Airlines","China","Nepal: Tribhuvan International Airport (KTM)"
"New Zealand","China Eastern Airlines","China","New Zealand: Auckland Airport (AKL)"
"Philippines","China Eastern Airlines","China","Philippines: Ninoy Aquino International Airport (MNL)"
"Singapore","China Eastern Airlines","China","Singapore: Singapore Changi Airport (SIN)"
"South Korea","China Eastern Airlines","China","South Korea: Incheon International Airport (ICN)"
"Sri Lanka","China Eastern Airlines","China","Sri Lanka: Bandaranaike International Airport (CMB)"
"Taiwan","China Eastern Airlines","China","Taiwan: Taiwan Taoyuan International Airport (TPE)"
"Thailand","China Eastern Airlines","China","Thailand: Suvarnabhumi Airport (BKK)"
"United Arab Emirates","China Eastern Airlines","China","United Arab Emirates: Dubai International Airport (DXB)"
"United States","China Eastern Airlines","China","United States: Hartsfield–Jackson Atlanta International Airport (ATL)"
"Vietnam","China Eastern Airlines","China","Vietnam: Noi Bai International Airport (HAN)"
"Australia","Hainan Airlines","China","Australia: Sydney Kingsford Smith Airport (SYD)"
"Belgium","Hainan Airlines","China","Belgium: Brussels Airport (BRU)"
"Canada","Hainan Airlines","China","Canada: Toronto Pearson International Airport (YYZ)"
"China","Hainan Airlines","China","China: Beijing Capital International Airport (PEK)"
"France","Hainan Airlines","China","France: Paris Charles de Gaulle Airport (CDG)"
"Germany","Hainan Airlines","China","Germany: Frankfurt Airport (FRA)"
"Hong Kong","Hainan Airlines","China","Hong Kong: Hong Kong International Airport (HKG)"
"Netherlands","Hainan Airlines","China","Netherlands: Amsterdam Airport Schiphol (AMS)"
"New Zealand","Hainan Airlines","China","New Zealand: Auckland Airport (AKL)"
"South Korea","Hainan Airlines","China","South Korea: Incheon International Airport (ICN)"
"United States","Hainan Airlines","China","United States: Hartsfield–Jackson Atlanta International Airport (ATL)"
"Albania","Scandinavian Airlines","Denmark, Norway, Sweden","Albania: Tirana International Airport (TIA)"
"Austria","Scandinavian Airlines","Denmark, Norway, Sweden","Austria: Vienna International Airport (VIE)"
"Bosnia and Herzegovina","Scandinavian Airlines","Denmark, Norway, Sweden","Bosnia and Herzegovina: Sarajevo International Airport (SJJ)"
"Canada","Scandinavian Airlines","Denmark, Norway, Sweden","Canada: Toronto Pearson International Airport (YYZ)"
"China","Scandinavian Airlines","Denmark, Norway, Sweden","China: Beijing Capital International Airport (PEK)"
"Croatia","Scandinavian Airlines","Denmark, Norway, Sweden","Croatia: Zagreb Airport (ZAG)"
"Cyprus","Scandinavian Airlines","Denmark, Norway, Sweden","Cyprus: Larnaca International Airport (LCA)"
"Czech Republic","Scandinavian Airlines","Denmark, Norway, Sweden","Czech Republic: Václav Havel Airport Prague (PRG)"
"Denmark","Scandinavian Airlines","Denmark, Norway, Sweden","Denmark: Copenhagen Airport (CPH)"
"Estonia","Scandinavian Airlines","Denmark, Norway, Sweden","Estonia: Tallinn Airport (TLL)"
"Faroe Islands","Scandinavian Airlines","Denmark, Norway, Sweden","Faroe Islands: Vágar Airport (FAE)"
"Finland","Scandinavian Airlines","Denmark, Norway, Sweden","Finland: Helsinki-Vantaa Airport (HEL)"
"France","Scandinavian Airlines","Denmark, Norway, Sweden","France: Paris Charles de Gaulle Airport (CDG)"
"Germany","Scandinavian Airlines","Denmark, Norway, Sweden","Germany: Frankfurt Airport (FRA)"
"Greece","Scandinavian Airlines","Denmark, Norway, Sweden","Greece: Athens International Airport (ATH)"
"Hong Kong","Scandinavian Airlines","Denmark, Norway, Sweden","Hong Kong: Hong Kong International Airport (HKG)"
"Hungary","Scandinavian Airlines","Denmark, Norway, Sweden","Hungary: Budapest Ferenc Liszt International Airport (BUD)"
"Iceland","Scandinavian Airlines","Denmark, Norway, Sweden","Iceland: Keflavík International Airport (KEF)"
"India","Scandinavian Airlines","Denmark, Norway, Sweden","India: Indira Gandhi International Airport (DEL)"
"Ireland","Scandinavian Airlines","Denmark, Norway, Sweden","Ireland: Dublin Airport (DUB)"
"Israel","Scandinavian Airlines","Denmark, Norway, Sweden","Israel: Ben Gurion Airport (TLV)"
"Italy","Scandinavian Airlines","Denmark, Norway, Sweden","Italy: Leonardo da Vinci–Fiumicino Airport (FCO)"
"Japan","Scandinavian Airlines","Denmark, Norway, Sweden","Japan: Tokyo Haneda Airport (HND)"
"Latvia","Scandinavian Airlines","Denmark, Norway, Sweden","Latvia: Riga International Airport (RIX)"
"Lithuania","Scandinavian Airlines","Denmark, Norway, Sweden","Lithuania: Vilnius International Airport (VNO)"
"Malta","Scandinavian Airlines","Denmark, Norway, Sweden","Malta: Malta International Airport (MLA)"
"Netherlands","Scandinavian Airlines","Denmark, Norway, Sweden","Netherlands: Amsterdam Airport Schiphol (AMS)"
"North Macedonia","Scandinavian Airlines","Denmark, Norway, Sweden","North Macedonia: Skopje International Airport (SKP)"
"Norway","Scandinavian Airlines","Denmark, Norway, Sweden","Norway: Oslo Airport"
"Poland","Scandinavian Airlines","Denmark, Norway, Sweden","Poland: Warsaw Chopin Airport (WAW)"
"Portugal","Scandinavian Airlines","Denmark, Norway, Sweden","Portugal: Lisbon Portela Airport (LIS)"
"Romania","Scandinavian Airlines","Denmark, Norway, Sweden","Romania: Henri Coandă International Airport (OTP)"
"Serbia","Scandinavian Airlines","Denmark, Norway, Sweden","Serbia: Belgrade Nikola Tesla Airport (BEG)"
"Spain","Scandinavian Airlines","Denmark, Norway, Sweden","Spain: Adolfo Suárez Madrid–Barajas Airport (MAD)"
"Sweden","Scandinavian Airlines","Denmark, Norway, Sweden","Sweden: Stockholm Arlanda Airport (ARN)"
"Switzerland","Scandinavian Airlines","Denmark, Norway, Sweden","Switzerland: Zurich Airport (ZRH)"
"Thailand","Scandinavian Airlines","Denmark, Norway, Sweden","Thailand: Suvarnabhumi Airport (BKK)"
"Turkey","Scandinavian Airlines","Denmark, Norway, Sweden","Turkey: Istanbul Airport (IST)"
"United Kingdom","Scandinavian Airlines","Denmark, Norway, Sweden","United Kingdom: London Heathrow Airport (LHR)"
"United States","Scandinavian Airlines","Denmark, Norway, Sweden","United States: Hartsfield–Jackson Atlanta International Airport (ATL)"
"Albania","EgyptAir","Egypt","Albania: Tirana International Airport (TIA)"
"Algeria","EgyptAir","Egypt","Algeria: Houari Boumediene Airport (ALG)"
"Armenia","EgyptAir","Egypt","Armenia: Zvartnots International Airport (EVN)"
"Austria","EgyptAir","Egypt","Austria: Vienna International Airport (VIE)"
"Bahrain","EgyptAir","Egypt","Bahrain: Bahrain International Airport (BAH)"
"Bangladesh","EgyptAir","Egypt","Bangladesh: Shahjalal International Airport (DAC)"
"Belgium","EgyptAir","Egypt","Belgium: Brussels Airport (BRU)"
"Benin","EgyptAir","Egypt","Benin: Cadjehoun Airport (COO)"
"Bosnia and Herzegovina","EgyptAir","Egypt","Bosnia and Herzegovina: Sarajevo International Airport (SJJ)"
"Brazil","EgyptAir","Egypt","Brazil: São Paulo/Guarulhos International Airport (GRU)"
"Bulgaria","EgyptAir","Egypt","Bulgaria: Sofia Airport (SOF)"
"Burkina Faso","EgyptAir","Egypt","Burkina Faso: Thomas Sankara International Airport Ouagadougou (OUA)"
"Cameroon","EgyptAir","Egypt","Cameroon: Douala International Airport (DLA)"
"Chad","EgyptAir","Egypt","Chad: N'Djamena International Airport (NDJ)"
"China","EgyptAir","Egypt","China: Beijing Capital International Airport (PEK)"
"Congo Democratic Republic of","EgyptAir","Egypt","Congo Democratic Republic of: N'djili Airport (FIH)"
"Côte d'Ivoire","EgyptAir","Egypt","Côte d'Ivoire: Félix-Houphouët-Boigny International Airport (ABJ)"
"Croatia","EgyptAir","Egypt","Croatia: Zagreb Airport (ZAG)"
"Cyprus","EgyptAir","Egypt","Cyprus: Larnaca International Airport (LCA)"
"Czech Republic","EgyptAir","Egypt","Czech Republic: Václav Havel Airport Prague (PRG)"
"Denmark","EgyptAir","Egypt","Denmark: Copenhagen Airport (CPH)"
"Djibouti","EgyptAir","Egypt","Djibouti: Djibouti–Ambouli International Airport (JIB)"
"Equatorial Guinea","EgyptAir","Egypt","Equatorial Guinea: Malabo International Airport (SSG)"
"Eritrea","EgyptAir","Egypt","Eritrea: Asmara International Airport (ASM)"
"Ethiopia","EgyptAir","Egypt","Ethiopia: Addis Ababa Bole International Airport (ADD)"
"France","EgyptAir","Egypt","France: Paris Charles de Gaulle Airport (CDG)"
"Gabon","EgyptAir","Egypt","Gabon: Léon-Mba International Airport (LBV)"
"Gambia","EgyptAir","Egypt","Gambia: Banjul International Airport (BJL)"
"Germany","EgyptAir","Egypt","Germany: Frankfurt Airport (FRA)"
"Ghana","EgyptAir","Egypt","Ghana: Kotoka International Airport (ACC)"
"Greece","EgyptAir","Egypt","Greece: Athens International Airport (ATH)"
"Guinea","EgyptAir","Egypt","Guinea: Conakry International Airport (CKY)"
"Hungary","EgyptAir","Egypt","Hungary: Budapest Ferenc Liszt International Airport (BUD)"
"India","EgyptAir","Egypt","India: Indira Gandhi International Airport (DEL)"
"Indonesia","EgyptAir","Egypt","Indonesia: Soekarno–Hatta International Airport (CGK)"
"Iraq","EgyptAir","Egypt","Iraq: Baghdad International Airport (BGW)"
"Ireland","EgyptAir","Egypt","Ireland: Dublin Airport (DUB)"
"Italy","EgyptAir","Egypt","Italy: Leonardo da Vinci–Fiumicino Airport (FCO)"
"Jordan","EgyptAir","Egypt","Jordan: Queen Alia International Airport (AMM)"
"Kenya","EgyptAir","Egypt","Kenya: Jomo Kenyatta International Airport (NBO)"
"Kuwait","EgyptAir","Egypt","Kuwait: Kuwait International Airport (KWI)"
"Lebanon","EgyptAir","Egypt","Lebanon: Beirut–Rafic Hariri International Airport (BEY)"
"Libya","EgyptAir","Egypt","Libya: Tripoli International Airport (TIP)"
"Madagascar","EgyptAir","Egypt","Madagascar: Ivato International Airport (TNR)"
"Malaysia","EgyptAir","Egypt","Malaysia: Kuala Lumpur International Airport (KUL)"
"Maldives","EgyptAir","Egypt","Maldives: Velana International Airport (MLE)"
"Mali","EgyptAir","Egypt","Mali: Modibo Keita International Airport (BKO)"
"Malta","EgyptAir","Egypt","Malta: Malta International Airport (MLA)"
"Mauritania","EgyptAir","Egypt","Mauritania: Nouakchott–Oumtounsy International Airport (NKC)"
"Mauritius","EgyptAir","Egypt","Mauritius: Sir Seewoosagur Ramgoolam International Airport (MRU)"
"Morocco","EgyptAir","Egypt","Morocco: Mohammed V International Airport (CMN)"
"Mozambique","EgyptAir","Egypt","Mozambique: Maputo International Airport (MPM)"
"Niger","EgyptAir","Egypt","Niger: Diori Hamani International Airport (NIM)"
"Nigeria","EgyptAir","Egypt","Nigeria: Murtala Muhammed International Airport (LOS)"
"Oman","EgyptAir","Egypt","Oman: Muscat International Airport (MCT)"
"Pakistan","EgyptAir","Egypt","Pakistan: Jinnah International Airport (KHI)"
"Qatar","EgyptAir","Egypt","Qatar: Hamad International Airport (DOH)"
"Romania","EgyptAir","Egypt","Romania: Henri Coandă International Airport (OTP)"
"Saudi Arabia","EgyptAir","Egypt","Saudi Arabia: King Abdulaziz International Airport (JED)"
"Senegal","EgyptAir","Egypt","Senegal: Blaise Diagne International Airport (DSS)"
"Serbia","EgyptAir","Egypt","Serbia: Belgrade Nikola Tesla Airport (BEG)"
"Seychelles","EgyptAir","Egypt","Seychelles: Seychelles International Airport (SEZ)"
"South Africa","EgyptAir","Egypt","South Africa: O. R. Tambo International Airport (JNB)"
"South Sudan","EgyptAir","Egypt","South Sudan: Juba International Airport (JUB)"
"Spain","EgyptAir","Egypt","Spain: Adolfo Suárez Madrid–Barajas Airport (MAD)"
"Sri Lanka","EgyptAir","Egypt","Sri Lanka: Bandaranaike International Airport (CMB)"
"Sudan","EgyptAir","Egypt","Sudan: Khartoum International Airport (KRT)"
"Switzerland","EgyptAir","Egypt","Switzerland: Zurich Airport (ZRH)"
"Syria","EgyptAir","Egypt","Syria: Damascus International Airport (DAM)"
"Tanzania","EgyptAir","Egypt","Tanzania: Julius Nyerere International Airport (DAR)"
"Thailand","EgyptAir","Egypt","Thailand: Suvarnabhumi Airport (BKK)"
"Togo","EgyptAir","Egypt","Togo: Lomé–Tokoin International Airport (LFW)"
"Tunisia","EgyptAir","Egypt","Tunisia: Tunis–Carthage International Airport (TUN)"
"Turkey","EgyptAir","Egypt","Turkey: Istanbul Airport (IST)"
"Uganda","EgyptAir","Egypt","Uganda: Entebbe International Airport (EBB)"
"Ukraine","EgyptAir","Egypt","Ukraine: Boryspil International Airport (KBP)"
"United Arab Emirates","EgyptAir","Egypt","United Arab Emirates: Dubai International Airport (DXB)"
"United Kingdom","EgyptAir","Egypt","United Kingdom: London Heathrow Airport (LHR)"
"United States","EgyptAir","Egypt","United States: Hartsfield–Jackson Atlanta International Airport (ATL)"
"Yemen","EgyptAir","Egypt","Yemen: Aden International Airport (ADE)"
"Afghanistan","Ethiopian Airlines","Ethiopia","Afghanistan: Kabul Hamid Karzai International Airport (KBL)"
"Albania","Ethiopian Airlines","Ethiopia","Albania: Tirana International Airport (TIA)"
"Algeria","Ethiopian Airlines","Ethiopia","Algeria: Houari Boumediene Airport (ALG)"
"Angola","Ethiopian Airlines","Ethiopia","Angola: Quatro de Fevereiro Airport (LAD)"
"Armenia","Ethiopian Airlines","Ethiopia","Armenia: Zvartnots International Airport (EVN)"
"Australia","Ethiopian Airlines","Ethiopia","Australia: Sydney Kingsford Smith Airport (SYD)"
"Austria","Ethiopian Airlines","Ethiopia","Austria: Vienna International Airport (VIE)"
"Bahrain","Ethiopian Airlines","Ethiopia","Bahrain: Bahrain International Airport (BAH)"
"Bangladesh","Ethiopian Airlines","Ethiopia","Bangladesh: Shahjalal International Airport (DAC)"
"Belgium","Ethiopian Airlines","Ethiopia","Belgium: Brussels Airport (BRU)"
"Benin","Ethiopian Airlines","Ethiopia","Benin: Cadjehoun Airport (COO)"
"Bosnia and Herzegovina","Ethiopian Airlines","Ethiopia","Bosnia and Herzegovina: Sarajevo International Airport (SJJ)"
"Brazil","Ethiopian Airlines","Ethiopia","Brazil: São Paulo/Guarulhos International Airport (GRU)"
"Bulgaria","Ethiopian Airlines","Ethiopia","Bulgaria: Sofia Airport (SOF)"
"Burkina Faso","Ethiopian Airlines","Ethiopia","Burkina Faso: Thomas Sankara International Airport Ouagadougou (OUA)"
"Burundi","Ethiopian Airlines","Ethiopia","Burundi: Bujumbura International Airport (BJM)"
"Cambodia","Ethiopian Airlines","Ethiopia","Cambodia: Phnom Penh International Airport (PNH)"
"Cameroon","Ethiopian Airlines","Ethiopia","Cameroon: Douala International Airport (DLA)"
"Canada","Ethiopian Airlines","Ethiopia","Canada: Toronto Pearson International Airport (YYZ)"
"Cape Verde","Ethiopian Airlines","Ethiopia","Cape Verde: Nelson Mandela International Airport (RAI)"
"Central African Republic","Ethiopian Airlines","Ethiopia","Central African Republic: Bangui M'Poko International Airport (BGF)"
"Chad","Ethiopian Airlines","Ethiopia","Chad: N'Djamena International Airport (NDJ)"
"China","Ethiopian Airlines","Ethiopia","China: Beijing Capital International Airport (PEK)"
"Comoros","Ethiopian Airlines","Ethiopia","Comoros: Prince Said Ibrahim International Airport (HAH)"
"Congo Democratic Republic of","Ethiopian Airlines","Ethiopia","Congo Democratic Republic of: N'djili Airport (FIH)"
